,0
Motor_Current,-0.8097777517274167
Operation_Duration,-0.8032277493443114
Thermal_Rise_Motor,-0.6965294656487153
Thermal_Rise_Lock,-0.6532849755959879
Current_Gradient,-0.5534109941233306
Thermal_Stress,-0.4705912981810838
Rolling_Std_Current,-0.4679485213804836
Rolling_Avg_Current,-0.4372329799834847
Thermal_Rise_Gearbox,-0.4344076951826091
Previous_Health,0.3542279583761779
Days_Since_Last_Maintenance,-0.31552184369448594
Maintenance_Ratio,-0.3155218436944859
Thermal_Rise_Cabinet,-0.21293094784501274
Temperature_Gradient,-0.19185120345882345
Current_Rate,0.1633717345632389
