,0
Motor_Current,0.2347075110614393
Operation_Duration,0.1353809565180445
Thermal_Rise_Motor,0.08294906436120686
Thermal_Rise_Lock,0.07931127091486607
Current_Gradient,0.07556150780371372
Rolling_Std_Current,0.06800765103628978
Thermal_Stress,0.042320977406379384
Rolling_Avg_Current,0.03622516278068196
Previous_Health,0.03241956737972176
Thermal_Rise_Gearbox,0.027698358237396015
Maintenance_Ratio,0.025382287822825728
Days_Since_Last_Maintenance,0.02491230121040489
Current_Rate,0.024465761957252162
Motor_Temperature,0.01592168169384276
Gearbox_Temperature,0.01110863511026886
Temperature_Gradient,0.010984736270223686
Operation_Count,0.009763875720939345
Lock_Temperature,0.00974366270515731
Ambient_Temperature,0.008758806976474924
Control_Cabinet_Temperature,0.008284727972336925
Rolling_Avg_Motor_Temp,0.006520294634181623
PrevFault_Normal,0.006303867647392945
Thermal_Rise_Cabinet,0.00627736397109152
Hour_of_Day,0.003224688295684964
Month,0.0027542692152259475
Day_of_Week,0.0022237795284686538
PrevFault_Maintenance_Overdue,0.0014309510427335135
PrevFault_Critical,0.001316023103145694
Season_Winter,0.001098452478473792
Location_Junction,0.0008057281794077817
Season_Monsoon,0.0007631633546372065
Is_Night,0.0006815698247042909
Location_Rural,0.0006812803453915821
Season_Summer,0.0006400223430636291
Location_Suburban,0.0005412544357391305
Is_Weekend,0.0004688594202244646
PrevFault_Overheat,0.0001933380649944653
PrevFault_Mechanical_Resistance,0.00016658917597274007
